year,month,day,hour,minute,ncores
2022,6,21,15,15,18
2022,6,21,15,30,19
2022,6,21,15,45,20
2022,6,22,15,0,15
2022,6,22,15,15,19
2022,6,22,15,30,15
2022,6,27,15,30,18
2022,6,27,15,45,16
2022,6,6,12,45,16
2022,6,6,13,15,16
2022,6,9,13,30,19
2022,6,20,13,45,17
2022,6,21,13,45,15
2022,6,3,14,30,16
2022,6,3,14,45,16
2022,6,9,14,15,17
2022,6,9,14,30,17
2022,6,9,14,45,16
2022,6,10,14,15,15
2022,6,10,14,30,16
2022,6,10,14,45,15
2022,6,12,14,45,18
2022,6,13,14,30,17
2022,6,13,14,45,17
2022,6,20,14,0,17
2022,6,20,14,15,18
2022,6,20,14,30,19
2022,6,20,14,45,24
2022,6,21,14,30,18
2022,6,21,14,45,15
